time,open,high,low,close,Volume
1733288280,95921.9,95942.6,95921.9,95942.5,0.06052901
1733288340,95942.5,96000.0,95942.5,96000.0,0.9523648
1733288400,96000.0,96009.6,95999.9,96009.6,0.95584221
1733288460,96009.6,96073.1,96009.6,96073.1,0.43443324
1733288520,96075.4,96150.0,96075.4,96150.0,1.44242332
1733288580,96150.0,96150.0,96149.9,96150.0,0.60410819
1733288640,96149.9,96150.0,96149.9,96149.9,0.21724637
1733288700,96150.0,96150.0,96149.9,96150.0,0.01047308
1733288760,96150.0,96150.0,96124.2,96124.2,1.70511239
1733288820,96124.2,96124.2,96091.5,96099.2,0.14945212
1733288880,96099.1,96099.2,96099.1,96099.2,0.09922453
1733288940,96099.2,96099.2,96099.1,96099.1,0.10881651
1733289000,96099.2,96099.2,96099.1,96099.1,0.20971916
1733289060,96099.2,96099.2,96099.1,96099.2,0.02851224
1733289120,96099.2,96124.2,96099.1,96124.2,0.04625047
1733289180,96124.3,96140.0,96124.3,96140.0,0.14776991
1733289240,96140.0,96144.3,96140.0,96144.3,0.07085175
1733289300,96144.2,96169.4,96144.2,96169.4,0.62768181
1733289360,96169.5,96178.2,96169.5,96178.2,0.04364176
1733289420,96178.3,96200.0,96178.3,96200.0,0.05445253
1733289480,96199.9,96226.6,96199.9,96226.6,0.05206155
1733289540,96226.6,96269.0,96226.6,96269.0,28.61652718
1733289600,96269.0,96269.3,96269.0,96269.2,0.10144578
1733289660,96269.3,96293.7,96269.3,96292.4,1.44263194
1733289720,96292.5,96292.5,96292.5,96292.5,0.01028263
1733289780,96292.5,96292.5,96292.4,96292.4,0.02403193
1733289840,96292.4,96315.5,96292.4,96315.5,0.14244533
1733289900,96315.5,96373.3,96315.4,96373.3,0.15357836
1733289960,96373.3,96384.8,96373.3,96384.8,0.09019273
1733290020,96384.8,96384.8,96384.8,96384.8,0.00755632
1733290080,96384.8,96408.0,96384.8,96407.9,0.83777673
1733290140,96407.9,96407.9,96407.9,96407.9,0.05188417
1733290200,96408.0,96485.6,96408.0,96478.2,1.99040103
1733290260,96478.3,96478.3,96478.2,96478.3,0.34516237
1733290320,96478.2,96478.2,96407.9,96430.5,1.03616524
1733290380,96430.4,96430.6,96430.4,96430.6,0.03136978
1733290440,96430.6,96430.6,96430.5,96430.6,0.05681182
1733290500,96430.6,96441.8,96430.5,96441.8,1.34405177
1733290560,96441.7,96444.1,96432.0,96444.1,27.61373052
1733290620,96444.1,96444.1,96444.0,96444.0,0.20133875
1733290680,96444.1,96471.9,96444.1,96471.9,0.02464138
1733290740,96471.9,96491.5,96471.9,96491.5,0.07301249
1733290800,96491.5,96491.5,96447.3,96447.3,0.18874448
1733290860,96447.3,96447.3,96447.2,96447.2,0.13211311
1733290920,96447.2,96447.3,96447.0,96447.0,0.0092573
1733290980,96447.0,96447.0,96444.0,96444.1,0.0616852
1733291040,96444.1,96444.1,96444.0,96444.1,0.14601297
1733291100,96444.0,96444.1,96444.0,96444.1,3.16414275
1733291160,96444.1,96444.1,96444.0,96444.1,0.50444269
1733291220,96444.0,96444.1,96444.0,96444.1,0.03164946
1733291280,96444.1,96444.1,96444.0,96444.1,0.00403846
1733291340,96444.1,96444.1,96444.0,96444.0,0.01999895
1733291400,96444.1,96444.1,96444.0,96444.0,0.09175611
1733291460,96444.1,96444.1,96444.0,96444.1,0.02897078
1733291520,96444.1,96444.1,96444.0,96444.1,0.12273895
1733291580,96444.1,96444.1,96444.0,96444.1,0.85432262
1733291640,96444.1,96444.1,96444.0,96444.0,0.36968771
1733291700,96444.1,96444.1,96444.0,96444.0,0.17240825
1733291760,96444.1,96444.1,96444.0,96444.1,0.12137109
1733291820,96444.1,96461.0,96444.1,96461.0,0.89987887
1733291880,96478.1,96478.3,96478.1,96478.3,0.007428
1733291940,96483.0,96500.0,96483.0,96500.0,0.16259452
